Abisara attenuata;"Arunachal Pradesh, India, Changlang District, Namdapha NP, Deban"
Acupicta delicatum;"India, Tareythang, Sikkim, East Sikkim District"
Acytolepis lilacea;"Anamalais, Senbagathoppu, Coimbatore District, Indira Gandhi NP, Thiruvananthapuram  District, Venkulamedu, Neyyar WLS, Varagaliar Shola, Tamil Nadu, Kerala, Virudhunagar District, India, Ananirathy, Ayyanar Falls"
Acytolepis puspa;"Manas NP, Honey Valley, Devgad, Coimbatore District, South Garo Hills District, Devarayanadurga, Tambaram, Kerala, Pabung Khola, Changlang District, Shivamogga District, Tamhanmala, Buxa TR, Wildlife Institute Of India, Baksa District, Paschimbanga, Balgaon Range, Dzongu, Tamil Nadu, Coimbatore, Mayurbhanj District, Goa, Pag, Bengaluru Urban District, Kakkur, Hanging Gardens, Malabar Hills, Jotsoma Village, Kamshet,, Manipur, Thrissur District, Ponda, Pune, Amboli, Jeypore RF, Butterfly Conservatory of Goa, 17th Mile, Chiplun, Dombivli, Madhuvana Estate, Matheran, IIT Bombay, Barbara Beat, Balpakram NP, West Kameng District, Dimapur District, Agalahatti, Phura, Kurul, North Sikkim District, Hoollongapar Gibbon Sanctuary, Dehradun District, Baghmara RF, Phek District, Karnala Bird Sanctuary, Savandurga SF, Piphema (near Pherima), Idukki District, Balpakram Plateau, Tadiandamol, Devala, Pune District, Assam, Geyzing, India, Senapati District, Mizoram, Tikona Fort, Valley School, Jorhat District, Kolhapur District, Meghalaya, Nainital, Kumbharli Ghat, Big Banyan Tree, Alibag, Arunachal Pradesh, K.V. No1, Khordha District, Jashipur, South Sikkim District, Bengaluru  Rural District, Sakleshpur, Lunkai Nullah, Halgeri, Sanjay Gandhi NP, Karnataka, Sirsi, Chinnar WLS, Ratnagiri District, Kodagu District, Kohima District, Maharashtra Nature Park, Agumbe Rainforest Research Station, Alipurduar District, Siddapur, Rolep, Namdapha NP, Yeoor, Mumbai City District, East Khasi Hills District, Maharashtra, Tinsukia District, Kozhikode District, Wayanad District, Hassan District, J.P. Nagar RF, Kanakeshwar, Panhala, Panchvati Hill, Tamil Nadu Agricultural University, Ring Khola, Pashan, Elephant Conservation Reserve, Nongriat, Uttarakhand, Alibag Taluka, Deban, Karwani, Sessa to Bhalukpong Road, Sikkim, Senapati, Banasura Sagar Dam, Dattaji Salvi Garden, East Sikkim District, Dibrugarh District, Mara Autonomous District, Sahakar Nagar, Wayanad WLS, Shatuza Village, Nagaland, Raigad District, Sindhudurg District, Tarku, Uttara Kannada District, Odisha, 19th Mile, Nainital District, Chennai District, Dodda Aalada Mara, Vellanikkara, Digboi, Kerala Agricultural University Main Campus, Thane District, Nilgiri District, Butterfly Park, Tumkur District, Mumbai Suburban District, Sinhagad, North Goa District, Powai, Jalahalli, Magadi Taluk, West Sikkim District"
Aemona amathusia;"Lower Dibang Valley District, Sikkim, West Kameng District, Pasingdang, Sessa Orchid Sanctuary, North Sikkim District, Tingvong, Arunachal Pradesh, India, Upper Dzongu, Mehao WLS"
Aeromachus dubius;"Kodaikanal, Adukkam Forest , Shendurney WLS, Dindigul District, Tamil Nadu, Pandimotta, Kerala, Anamudi Shola NP, Idukki District, India, Kollam District"
Aeromachus jhora;"near Seijosa, Sukhanala, Pakke TR, East Kameng District, Arunachal Pradesh, India"
Aeromachus kali;"Manipur, Kohima District, Phuba, Senapati District, Phek District, Shathiiya, Near Shatuza Village, Nagaland, India, Khonoma"
Aeromachus pygmaeus;"Honey Valley, near Seijosa, Near Bio Veda Retreat, Bhagwan Mahaveer WLS, Agalahatti, Trishna WLS, South Goa District, Kerala, Sakleshpur, Shivamogga District, Agumbe Valley, Wayanad, Saalugudda Homestay, Tripura, Sukhanala, Karnataka, Pakke TR, Ernakulam District, Sirsi, Salim Ali Bird Sanctuary, Kanoor Kote, South Tripura District, Wayanad WLS, Idukki District, Tamil Nadu, Sindhudurg District, Kodagu District, Uttara Kannada District, Kakkadampoyil, Dakshina Kannada District, Agumbe Rainforest Research Station, Thiruvananthapuram  District, Doctor's Mane, Devala, Goa, Jungle Retreat, Nilgiri District, Mankavu, India, Periyar TR, near new Rest House, Thattekad, Kallikad, Beluvai, East Khasi Hills District, Maharashtra, Aralam WLS, Sattaram, Amboli, Kannur  District, Kozhikode District, Kadavoor, Wayanad District, Hassan District, Meghalaya, Mawkisyiem, Cherrapunjee, East Kameng District, Joychandarpur, Madhuvana Estate, Arunachal Pradesh, Sammilan Shetty's Butterfly Park, Mangalore Taluk"
Aeromachus stigmata;"Panikheti, Near Shatuza Village, West Kameng District, Ghingharutola Village, North Sikkim District, Uttarakhand, Ramaling, Sikkim, Phek District, Lungshu Nala, Pakke TR, Pasingdang, Buxa TR, Paschimbanga, Nagaland, Upper Dzongu, Phuba, Tehri Garhwal District, Alipurduar District, Devalsari, India, Manipur, Senapati District, Bageshwar District, East Kameng District, Eaglenest WLS, Arunachal Pradesh"
Aglais caschmirensis;"Himalayan Botanical Garden, Kathayat Bara Village, Jammu and Kashmir, Kangra District, West Kameng District, Lower Mukrung, Srinagar, Sarahan Bushahr, Churdhar Sanctuary, South Sikkim District, Shimla District, Kohima, Haridwar District, North Sikkim District, Darjeeling District, Kalimpong, Kilbury Divison, Kullu District, Uttarakhand, Ramaling, Dehradun District, Chakrata, Sikkim, Namprikdang, Kohima War Cemetery, Dhanaulti, Pasingdang, Buxa TR, Rishop, Sankri, Dal Lake, Above Mcleodganj, Gangtok, East Sikkim District, Paschimbanga, Dzongu, Himachal Pradesh, Nagaland, Upper Dzongu, Tarku, Srinagar District, Phuba, Tehri Garhwal District, Old Railway Station, Kohima District, Dharamshala, Nainital District, Uttarkashi District, Alipurduar District, Mcleodganj, Fairy Hall Forest Compound, Sillery Gaon, Tirthan Valley, Geyzing, Sitapur, India, Shimla, Durpin hill, Pangot, Manipur, Senapati District, Bhimtal, Darjeeling, Bahadrabad Mandal, Sattal Lake, Chamba District, Thangu, Benog WLS, Bageshwar District, Khajjiar, Nainital, Lal Bungalow, West Sikkim District, Anantnag (Kashmir South) District, Arunachal Pradesh, Govind Pashu NP, Eaglenest WLS, Pahalgam"
Aglais ladakensis;"South Pullu Checkpoint, Sikkim, Jammu and Kashmir, Thangu, North Sikkim District, India, Ladakh (Leh) District, Khardung La"
Agriades jaloka;"Gurais Valley, Gilgit閳ユ弮altistan, Jammu and Kashmir, Bandipora District, Stakspi pass, Gilgit-Baltistan, Pakistan, India, Chomolungma"
Albulina arcaseia;"Thangu, North Sikkim District, India, Sikkim"
Albulina chrysopis;"Himachal Pradesh, India, Kokhsar, Lahaul and Spiti District"
Albulina galathea;"Himachal Pradesh, India, Pin Valley NP, Lahaul and Spiti District"
Albulina omphisa;"Jammu and Kashmir, India, Ladakh (Leh) District, Leh-Hemis road"
Algia fasciata;"Sonapyrdi, Alipurduar District, Buxa TR, Jaintia Hills District, Meghalaya, Paschimbanga, India, Jayanti, Alipurduar Junction"
Allotinus drumila;"South Garo Hills District, West Kameng District, Rey Khola, North Sikkim District, Baghmara RF, Karwani, Sikkim, Bomphu, Pasingdang, Buxa TR, Mawkdok, Dzongu, Paschimbanga, Upper Dzongu, Alipurduar District, India, East Khasi Hills District, Cherrapunjee, Meghalaya, Mawkisyiem, Rangrang, Eaglenest WLS, Arunachal Pradesh, Ring Khola"
Allotinus unicolor;"Mizoram, Kamrup District, Assam, Ngengpui WLS, Champhai District, Rani, India"
Amathusia andamanensis;"South Andaman District, India, Andaman and Nicobar Islands, Near Ferrargunj"
Amathuxidia amythaon;"Mizoram, Haldibari, Baghmara RF, Karwani, West Kameng District, Bhalukpong, South Garo Hills District, Tippi Inspection Bungalow, Mipu Lung Puk, Meghalaya, Lungpuk, Mara Autonomous District, Namdapha NP, Arunachal Pradesh, India, Changlang District"
Amblypodia anita;"Matheran, Siddheshwar Hills, Bankura District, Tungareshwar WLS, Gondiya District, Kattalappara, Taldangra Eco Park, Shendurney WLS, Iruppu Falls, Jabalpur District, Burikhamari RF, Pocharam Wildlife Sanctuary, Kerala, Sonsari, Thenmala, Ayyanar Falls, Alibag Taluka, Karnala Bird Sanctuary, Sanjay Gandhi NP, Navegaon NP, Karnataka, Senapati, Rangamati Hill District, Rosemala, Karle khind, Krishnagiri District, Chittagong, Pamba, Ratnagiri District, Paschimbanga, Medak District, Raigad District, Tamil Nadu, Gullatty RF, Kodagu District, Mayurbhanj District, Gadchiroli District, Sindhudurg District, East Godavari District, Vishakhapatnam District, Odisha, Mudasarlova, Pathanamthitta District, Kaptai NP, Panchet Hill, Shilonda, Thane District, Madhya Pradesh, Garpanchkot, Puruliya District, Sabarimala, Mumbai Suburban District, India, Periyar TR, Telangana, Yeoor, Tiware Ghera Prachitgad, Bangladesh, Manipur, Senapati District, Sangameshwar, Maredumilli, Andhra Pradesh, Maharashtra, Shodhgram, Palaruvi Falls, Amboli, Kumbharli Ghat, Chiplun, Delanwadi, Kanakeshwar, Alibag, Virudhunagar District, Dhobi RF, Chatgaon, Kollam District, Bangriposi Ghati"
Ampittia dioscorides;"Sadvali, Perambra, Kadamtala, Devgad, Dimapur District, Jaguli, Turahalli RF, Taleigao,Panjim, Agalahatti, Mysore District, Bengaluru  Rural District, South Goa District, Nadia District, Kerala, Sakleshpur, Goverment Guest House, Thommankuthu, Darjeeling District, Whitefield, Indian Institute of Science (IISc) Campus, Devrukh, South 24 Parganas District, Savandurga SF, Karnataka, Anekal, Belgaum District, Cotigao WLS, Joka Grasslands, Chorla Falls, Ratnagiri District, Paschimbanga, Dimapur, Idukki District, Nagaland, Sindhudurg District, Lalitha Mahal Palace, Khanapur Taluka, Mysore City, Goa, Bengaluru Urban District, India, Channasandra, North Goa District, Ponmudi, Karle Home Stay, Lingambudhi Lake, Maharashtra, Magadi Taluk, Amboli, Kozhikode District, Wayanad District, Hassan District, J.P. Nagar RF, Sulthan Bathery, Malleshwaram"
Ancema blanka;"Balpakram NP, South Garo Hills District, Alipurduar District, Buxa TR, Meghalaya, Gongrot, Paschimbanga, India, Jayanti, Mahakal Temple"
Ancema ctesia;"West Kameng District, North Sikkim District, Changlang District, Jayanti, Deban, Sessa to Bhalukpong Road, Sikkim, Pakke TR, Pasingdang, Buxa TR, Khadi (Khari), Paschimbanga, Upper Dzongu, 19th Mile, Alipurduar District, Mawlong-Terna Road, Namdapha NP, India, East Khasi Hills District, Meghalaya, East Kameng District, Arunachal Pradesh"
Ancema sudica;"Senbagathoppu, Coimbatore District, Karnataka, Government Horticultural Garden, Siddapur, Tamil Nadu, Halgeri, Kallar, Virudhunagar District, India, Ayyanar Falls, Uttara Kannada District"
Ancistroides nigrita;"Nagadera Gaon, Happy Valley, Balpakram NP, South Garo Hills District, Dimapur District, South Sikkim District, Pabung Khola, North Sikkim District, Darjeeling District, Changlang District, Hoollongapar Gibbon Sanctuary, Baghmara RF, Karwani, Sikkim, Tripura, Ultapani, Pasingdang, Dibrugarh District, Dimapur, Paschimbanga, Jampui Hills, Nagaland, Upper Dzongu, Sylhet, Sylhet District, North Tripura District, Assam, Gongrot, Nakachari, Siju WLS, Namdapha NP, India, Bangladesh, Darjeeling, Jorhat District, Jeypore RF, Meghalaya, Arunachal Pradesh, Kokrajhar District"
Anthene emolus;"Manas NP, Haldibari, Bansbari Range, South Garo Hills District, Kakkavayal, Dimapur District, Kerala, Kolkata District, Elephant Conservation Reserve, Changlang District, Hoollongapar Gibbon Sanctuary, Jayanti, Uttarakhand, Nongriat, Kolkata, Baghmara RF, Karwani, Kamrup District, Tripura, Netravali WLS, Simlipal NP, Pakke TR, Karnataka, Buxa TR, Fatehpur Range, Dibrugarh District, Baksa District, Mara Autonomous District, Paschimbanga, Dimapur, Pithabata River, Nagaland, Malappuram District, Mayurbhanj District, Odisha, Biodiversity Park, Nainital District, Dakshina Kannada District, Belvai, Alipurduar District, Goa, Digboi, Assam, Mawlong-Terna Road, West Singhichara, Siju WLS, Namdapha NP, Srikakulam District, Rani, India, Pawalgarh Conservation Reserve, North Goa District, Mizoram, Andhra Pradesh, Mantina, East Khasi Hills District, Jorhat District, Jeypore RF, Kozhikode District, Tinsukia District, Dhuna Nala, Meghalaya, Lungpuk, Lulung Check Gate, Chilapata WLS, East Kameng District, Jokai Reserve Forest, Khowai District, Arunachal Pradesh, Chelembra, 17th Mile"
Anthene lycaenina;"Matheran, IIT Bombay, Hebbal, Siddheshwar Hills, Vilangad, Nellimattom, Lunglei, Jaguli, Devarayanadurga, Pashan, Bengaluru  Rural District, Nadia District, Kerala, Thattekad, Satara, Whitefield, Jayanti, Camp Geedee, Alibag Taluka, Gaganbavda, Tamhanmala, Lunglei District, Sanjay Gandhi NP, Ragihalli, Savandurga SF, Kothamangalam Taluk, Karnataka, Ultapani, Bannerghatta RF, Ernakulam District, Buxa TR, Guindy NP, Dajipur WLS, Udupi District, Salim Ali Bird Sanctuary, Kudlu Teertha, Pamba, Ratnagiri District, Paschimbanga, Malappuram District, Raigad District, Tamil Nadu, Sindhudurg District, Maharashtra Nature Park, Pathanamthitta District, Chennai District, Alipurduar District, Pune District, Radhanagari WLS, Thane District, Assam, Bengaluru Urban District, Channasandra, Tumkur District, Mumbai Suburban District, Sabarimala, India, Periyar TR, Hanging Gardens, Yeoor, Malabar Hills, Bengaluru, Powai, Mumbai City District, Mizoram, Vaniyambalam, Kempapura, Thrissur District, Pune, Maharashtra, Satara District, Jalahalli, Kolhapur District, Magadi Taluk, Nenmara-Nelliyampathy Road, Kozhikode District, Amboli, Sandavali, J.P. Nagar RF, Thoseghar, Kumbharli Ghat, Chiplun, Chelembra, Tungareshwar WLS, Kokrajhar District"
Apharitis lilacinus;"Karnataka, India, Bengaluru Urban District, Hesaraghatta Lake"
Aporia agathon;"Kangra District, Mahesh Khan Forest, Uttarakhand, Lungshu Nala, Sankri, Above Mcleodganj, Pithoragarh District, Himachal Pradesh, Nagaland, Tehri Garhwal District, Kohima District, Thanga, Pithoragarh, Dharamshala, Nainital District, Sirmaur District, Uttarkashi District, Devalsari, India, Bhimtal, East Khasi Hills District, Haripurdhar-Nohradhar Road, Mawkisyiem, Meghalaya, Cherrapunjee, Dal Lake, Govind Pashu NP, Khonoma"
Aporia harrietae;"West Kameng District, Arunachal Pradesh, India, Lama Camp, Eaglenest WLS"
Aporia leucodice;"India, Uttarkashi District, Kangra District, Mcleodganj, Taluka Village, Near Saurkundi Pass, Himachal Pradesh, Govind Pashu NP, Kullu District, Uttarakhand"
Aporia nabellica;"Jammu and Kashmir, Baramula district, India, Gulmarg"
Apostictopterus fuliginosus;"Nagaland, Kohima District, India, Kirbari"
Appias albina;"Honey Valley, Vilangad, South Garo Hills District, Kollam District, Shendurney WLS, Phura, Kerala, Yelahanka, Jayanti, Camp Geedee, Makutta, Coonoor, Ragihalli, Silent Valley NP, Pelhar Dam, Pakke TR, Karnataka, Abbey Falls, Buxa TR, Rosemala, Udupi District, Hatikuli Tea Estate, Kudlu Teertha, Pamba, Ratnagiri District, Paschimbanga, Mara Autonomous District, Palakkad District, Tamil Nadu, Malappuram District, Kodagu District, Vellore District, Pathanamthitta District, Chittoor District, Jagmarla, Tadiandamol, Thiruvananthapuram  District, Alipurduar District, Yelagiri Hills, Thane District, Bangalore University Campus, Nilgiri District, Bengaluru Urban District, Siju WLS, Attayar, Assam, Sabarimala, India, Periyar TR, Golaghat District, Malabar Hills, Mumbai City District, Mizoram, Andhra Pradesh, East Khasi Hills District, Maharashtra, Swamimalai, Banashakari, Aralam WLS, Kannur  District, Kozhikode District, Mawkisyiem, Meghalaya, Kumbharli Ghat, Chiplun, Chelembra, East Kameng District, Cherrapunjee, J.P. Nagar RF, Arunachal Pradesh, Vasai, Peppara WLS"
Appias galathea;"South Andaman District, Chidiya Tapu, Great Nicobar Island, Campbell Bay, Nicobar District, India, Andaman and Nicobar Islands"
Appias galba;"Phek District, Panikheti, Near Shatuza Village, Deban, Dimapur District, Kankra River, Jeypore RF, Assam, Nagaland, Dibrugarh District, Namdapha NP, Dimapur, Arunachal Pradesh, India, Changlang District, Chumukedima"
Appias indra;"Matheran, Honey Valley, Wasota, South Garo Hills District, Tungareshwar WLS, Dimapur District, Bhagwan Mahaveer WLS, Iruppu Falls, South Sikkim District, South Goa District, Kerala, Sakleshpur, Pabung Khola, Changlang District, Jayanti, Ayyanar Falls, Deban, Nongriat, Sikkim, Pelhar Dam, Karnataka, Bondla WLS, Buxa TR, Karamanayar, East Sikkim District, Dimapur, Paschimbanga, Idukki District, Tamil Nadu, Nagaland, Kodagu District, Raigad District, Sindhudurg District, Thiruvananthapuram  District, Alipurduar District, Goa, Rorathang, Thane District, Siju WLS, Namdapha NP, Chikkamagaluru District, India, Periyar TR, North Goa District, Malabar Hills, Jhari Eco Stay, Mumbai City District, East Khasi Hills District, Maharashtra, Satara District, Athigundi Village, Mangaladevi, Amboli, Hassan District, Meghalaya, Vasai, Virudhunagar District, Arunachal Pradesh, Peppara WLS, Kemmanagundi"
Appias lalage;"Kalakkad Mundanthurai Tiger Reserve, Chandannagar, Mouling NP, Kerala, Lunkai Nullah, North Sikkim District, Tirunelveli District, Changlang District, Hooghly District, Jayanti, Uttarakhand, Deban, Sikkim, Pakke TR, Buxa TR, Achankovil River, Paschimbanga, Dzongu, Tamil Nadu, Devarmalai, Pathanamthitta District, Nainital District, Thiruvananthapuram  District, Alipurduar District, Upper Siang District, Namdapha NP, India, Sengeltheri, Nabagram, Nainital, East Kameng District, Arunachal Pradesh, Peppara WLS, Ring Khola"
Appias libythea;"Tamhini Ghat, IIT Bombay, Tiruchchirappalli District, Bengaluru  Rural District, Kurul, Kerala, Kolkata District, Ballari District, Whitefield, Alibag Taluka, Kolkata, Sanjay Gandhi NP, Savandurga SF, Pelhar Dam, Karnataka, Bodimet, Chinnar WLS, Kammanahalli Village, Bennigana Halli Lake, Krishnagiri District, Paschimbanga, Near Satpool, Idukki District, Daroji Sloth Bear Sanctuary, Raigad District, Tamil Nadu, Maharashtra Nature Park, Mohor Kunjo, Begur Hobli, Pune District, Upparahal, Thane District, Bengaluru Urban District, Mumbai Suburban District, Hanging Gardens, India, Channasandra, Yeoor, Malabar Hills, Powai, Mumbai City District, Maharashtra, Magadi Taluk, J.P. Nagar RF, Vasai, Dombivli, Anaibethella Beat, Theni District, Mathur"
Appias lyncida;"Kottayam District, South Garo Hills District, Kerala, Changlang District, Lunglei District, Ultapani, Buxa TR, Khadi (Khari), Paschimbanga, Aalo (Along), Pathanamthitta District, Mawlong-Terna Road, Nakachari, Kakkur, Amarpur, Thattekad, Manipur, Bongaigaon, Jeypore RF, Chiplun, East Kameng District, Salim Ali Bird Sanctuary, Nagadera Gaon, IIT Bombay, Hoollongapar Gibbon Sanctuary, Jayanti, Makutta, Baghmara RF, Tripura, Pelhar Dam, Pakke TR, Bongaigaon District, Pune District, Sipsu, Assam, Rasayni, Mahananda WLS, Sabarimala, India, Senapati District, Mizoram, Jorhat District, Kolhapur District, Meghalaya, Arunachal Pradesh, Lunkai Nullah, Darjeeling District, Gaganbavda, Sanjay Gandhi NP, Karnataka, Ratnagiri District, Kodagu District, Alipurduar District, West Siang District, Kumarakom, Namdapha NP, Chikkamagaluru District, Periyar TR, Yeoor, East Khasi Hills District, Maharashtra, Kannur  District, Kozhikode District, Wayanad District, Kokrajhar District, Lunglei, Gomati district, Deban, Sukna, Karwani, Sikkim, Mayangkhang, Ernakulam District, Narasimharajapura, Dibrugarh District, Pamba, Wayanad WLS, Raigad District, Tamhini, Thane District, Siju WLS, Mumbai Suburban District, Powai, 23rd Mile, Aralam WLS, Vasai, West Sikkim District, Jokai Reserve Forest"
Appias olferna;"Campbell Bay, Bankura District, South Garo Hills District, Dimapur District, Santoshpur, Raibaghini, Baidyabati, Botanical Gardens, Kolkata District, Hooghly District, Jayanti, Kolkata, Howrah District, South 24 Parganas District, Kamrup District, Tripura, Baghmara RF, Buxa TR, Cooch Behar District, Aizawl District, Aizwal, Dimapur, Paschimbanga, Sonitpur District, Bongaigaon District, Nagaland, Patuli, Survey Park, Nameri NP, Alipurduar District, CASFOS campus, West Tripura District, Assam, West Singhichara, Jogendranagar, Cooch Behar, Domjur, India, Mizoram, Saltlake Area, Burnihat, Great Nicobar Island, Bongaigaon, Vidyasagar, Nicobar District, Meghalaya, Khowai District, Roychak, DVC Canal, Central Park, Andaman and Nicobar Islands"
Appias wardii;"Karnataka, India, Kodagu District, Makutta"
Araotes lapithis;"Alipurduar, Nameri NP, India, Dimapur District, Alipurduar District, Damanpur, Assam, Kaziranga National Park, Dimapur, Paschimbanga, Sonitpur District, Golaghat District, Nagaland"
Araschnia dohertyi;"Manipur, Phuba, Senapati District, Kohima District, Phek District, Shathiiya, Near Shatuza Village, Wehazio Village, Nagaland, Dzulekie, India, Khonoma"
Argynnis castetsi;"Eravikulam NP, Pampadum Shola NP, Kerala, Anamudi Shola NP, Idukki District, India, Mannavan Shola"
